block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
6,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.837,0.8355949485367018,35.120629510999606,0.025503965999632783
7,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.806,0.8068213428018893,16.414389576999383,0.5221625239992136
7,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.819,0.8172687868211739,32.374385549999715,0.010985365999658825
7,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.838,0.8346608876517602,36.08534152499942,0.02560541899947566
8,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.814,0.8145038641810893,16.408732192999196,0.4662319999997635
8,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.832,0.8309571949646074,34.41560026899879,0.01084270000046672
8,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.821,0.8186504538057477,35.97773728299853,0.02604302099916822
9,scaled,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.813,0.8122539514589764,16.193818230000034,0.44919083599961596
9,scaled,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.844,0.8429195692941092,30.51208160799888,0.010811534999447758
9,scaled,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.837,0.8344459646479508,37.32499960199948,0.025561497999660787
