block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
7,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.734,0.7325565572397734,2.0969127999997,0.01239239999995334
7,pca_50,LogisticRegression,784,5,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.69,0.683241690627843,11.531090200005565,0.00590609999926528
7,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 100}",0.732,0.7285632832251419,15.765275400000974,0.025147599997580983
8,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.73,0.7271113974598942,2.0343415000024834,0.011575399999856018
8,pca_50,LogisticRegression,784,5,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.694,0.6857611391709675,11.622488100001647,0.005387700002756901
8,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 100}",0.736,0.7325156508225774,14.856068400004006,0.02414590000262251
9,pca_50,KNeighborsClassifier,784,5,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.714,0.7112006640250057,2.0387991000025067,0.012811200002033729
9,pca_50,LogisticRegression,784,5,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.689,0.6824765727184587,11.295005100000708,0.006404700005077757
9,pca_50,RandomForestClassifier,784,5,"{'max_depth': 20, 'n_estimators': 100}",0.744,0.74105798211835,14.839438100003463,0.025618400002713315
0,pca_75,KNeighborsClassifier,784,32,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.806,0.8067363533227704,2.592729399999371,0.0401653000008082
0,pca_75,LogisticRegression,784,32,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.802,0.8008159379897363,13.533070500001486,0.006567599994014017
0,pca_75,RandomForestClassifier,784,32,"{'max_depth': 20, 'n_estimators': 100}",0.819,0.8173510598963485,32.65264810000372,0.024506299996573944
1,pca_75,KNeighborsClassifier,784,31,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.805,0.8022003409799984,2.567082900000969,0.05390630000329111
1,pca_75,LogisticRegression,784,31,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.813,0.810247495486436,13.469014100002823,0.00735059999715304
1,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.832,0.8295314799020079,31.8398065000074,0.02535090000310447
2,pca_75,KNeighborsClassifier,784,32,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.815,0.8143745264279516,2.5993606000047293,0.017094700007874053
2,pca_75,LogisticRegression,784,32,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.809,0.8064416969721409,14.523933399999805,0.005687700002454221
2,pca_75,RandomForestClassifier,784,32,"{'max_depth': 20, 'n_estimators': 100}",0.825,0.8233239839090134,37.63409139999567,0.024364600001717918
3,pca_75,KNeighborsClassifier,784,30,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.816,0.8147341274934032,2.667729799999506,0.051274999997986015
3,pca_75,LogisticRegression,784,30,"{'C': 10.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.806,0.8034520038661161,14.836297900001227,0.006638500002736691
3,pca_75,RandomForestClassifier,784,30,"{'max_depth': 20, 'n_estimators': 100}",0.82,0.8175170515329772,38.048100500003784,0.025531599996611476
4,pca_75,KNeighborsClassifier,784,31,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.811,0.810163279720977,2.754205900004308,0.01898280000750674
4,pca_75,LogisticRegression,784,31,"{'C': 10.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.802,0.8032997153666075,14.997334300001967,0.007453700003679842
4,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.814,0.8130057809931811,34.13462350000191,0.025520400013192557
5,pca_75,KNeighborsClassifier,784,31,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.808,0.8073024943431125,2.6190701000014087,0.04177619998517912
5,pca_75,LogisticRegression,784,31,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.804,0.80289292746534,13.565699999999197,0.007416999986162409
5,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.816,0.8127955875944017,32.29210890000104,0.025260999987949617
6,pca_75,KNeighborsClassifier,784,31,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.795,0.7962377633259508,2.5721039999989443,0.03924849999748403
6,pca_75,LogisticRegression,784,31,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.797,0.7956113915937169,13.392981899996812,0.00593940000544535
6,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.811,0.8096390848332755,32.12806580000324,0.023574400001962204
7,pca_75,KNeighborsClassifier,784,31,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.806,0.8041390445466922,2.635012500002631,0.016968600000836886
7,pca_75,LogisticRegression,784,31,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.794,0.7902967807030127,13.699462800002948,0.006523999996716157
7,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.829,0.8255714240426885,32.010405200002424,0.024614599999040365
8,pca_75,KNeighborsClassifier,784,30,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.806,0.8068502190950044,2.4944800999946892,0.04007439999986673
8,pca_75,LogisticRegression,784,30,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.81,0.8075189472379416,13.600060600001598,0.006102200000896119
8,pca_75,RandomForestClassifier,784,30,"{'max_depth': 20, 'n_estimators': 100}",0.813,0.8128121926592848,32.160786900007224,0.024106000004394446
9,pca_75,KNeighborsClassifier,784,31,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.817,0.8152948595114026,2.6058684999952675,0.04237839999404969
9,pca_75,LogisticRegression,784,31,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.816,0.8159597751176932,13.669110099996033,0.007088999998813961
9,pca_75,RandomForestClassifier,784,31,"{'max_depth': 20, 'n_estimators': 100}",0.83,0.827055638293866,32.0197724999889,0.025914799996826332
